Location,State,"Population (US Census, 2011)",Ownership?,Open Data Policy?,Link,Type ,Platform ,Contact
Gilpin County,CO,,Community,,http://data.opencolorado.org,US City or County,CKAN v 1.8,http://opencolorado.org/contact/
Pueblo County,CO,,Community,,http://data.opencolorado.org,US City or County,CKAN v 1.8,http://opencolorado.org/contact/
Santa Cruz,CA,60342,Community?,No,http://data.cityofsantacruz.com,US City or County  ,CKAN,
Denver Regional Council,CO,3157520,Regional,No,http://data.opencolorado.org/group/drcog,Other State Related,CKAN,
Gilpin County,CO,5467,Regional,No,http://data.opencolorado.org/group/gilpin-county,US City or County,CKAN,
Washington D.C.,DC,797983,Community,Yes,http://www.opendatadc.org/,US District,CKAN,
Montclair,NJ,,Community,No,http://data.codefornewark.org/tr/organization/township-of-montclair-nj,US City,CKAN,
Newark,NJ,277540,Community,in progress,http://data.codefornewark.org/tr/dataset,US State,CKAN,
Houston,TX,2089090,Community?,No,http://data.codeforhouston.com,US City or County  ,CKAN,
Virginia,VA,8096604,Community?,No,http://data.openva.com,US State,CKAN,
Philadelphia,PA,1514456,Community,Yes,http://www.opendataphilly.org/,US State,Azavea Open Data Catalog,
Lexington,KY,457551,Government,Yes,http://data.lexingtonky.gov/,US City or County, CKAN v1.7.2,opendata@lexingtonky.gov
Alabama,AL,4802740,Government,No,http://open.alabama.gov/,US State,homegrown,
San Diego,CA,1307402,Community,in progress,http://catalog.opensandiego.org/,US City or County,Azavea Open Data Catalog,
Arvada,CO,83433,Government,No,http://arvada.org/opendata/,US City or County,CKAN,
Delaware,DE,907135,Government,No,http://www.delaware.gov/data/,US State,Bootstrap/links,
Delaware,DE,907135,Government,Yes,https://dataexchange.gis.delaware.gov/,US State GIS,homegrown,
Atlanta,GA,419250,Government,No,http://gis.atlantaga.gov/,US City or County,,
Atlanta Regional Commission,GA,4142300,Government,,http://www.atlantaregional.com/info-center/gis-data-maps/gis-data,US Regional GIS,,
Cobb County,GA,9815210,Government,Yes,http://www.cobbcounty.org/index.php?option=com_content&view=article&id=1125&Itemid=519,US City GIS,,
Georgia,GA,9815210,Government,No,http://www.open.georgia.gov/,US State,,
Glynn County,GA,79626,Government,Yes,http://glynncounty.org/index.aspx?nid=1598,US County GIS,,
Marietta,GA,56602,,Yes,http://www.arcgis.com/home/item.html?id=ed925a2f26704d6493b779b4fbd28753,US City GIS,,
Hawaii,HI,1374810,Government,Yes,http://hawaii.gov/spo2,US State,,
Hawaii GIS,HI,1374810,Government,Yes,http://gis.hicentral.com/,Other State Related,,
Hawaii,HI,1374810,Government,Yes,http://planning.hawaii.gov/gis/download-gis-data-expanded/,US State GIS,,
Bonner County,ID,40877,Government,Yes,ftp://ftp.co.bonner.id.us/GISData/,US County GIS,,
Idaho,ID,1584985,Government,No,http://transparent.idaho.gov,US State,,
Idaho,ID,1584985,Government,No,http://www.insideidaho.org/,US Stste GIS,,
Belleville,IL,3951,Government,No,https://data.illinois.gov/belleville,US City or County,,
Illinois,IL,12869257,Government,in progress,http://accountability.illinois.gov,US State,,
Indiana,IN,6516922,Government,No,http://inmap.indiana.edu/viewer.htm,US State,,
Indiana,IN,6516922,Government,No,http://www.in.gov/itp,US State,,
Kansas,KS,2871238,Government,No,http://kanview.ks.gov/,US State,,
Kentucky [Open Door],KY,4369356,Government,No,http://opendoor.ky.gov/search/Pages/spendingsearch.aspx,US State,,
Louisville,KY,592529,Government,Yes,http://portal.louisvilleky.gov/service/data,US City or County,,
Louisiana,LA,4574836,Government,No,http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,US State,,
Boston,MA,609942,Government,No,http://www.cityofboston.gov/doit/databoston/app/data_disclaimer.asp,US City or County,,
Cambridge GIS,MA,105162,Government,in progress,http://cambridgegis.github.io/gisdata.html,US City or County,,
Massachusetts,MA,6587536,Government,No,http://www.mass.gov/data/,US State,,
Massachusetts,MA,6587536,Government,No,http://www.mass.gov/transparency,US State,,
Maine,ME,462257,Government,No,http://www.maine.gov/data/,US State,,
Maine,ME,462257,Government,No,http://opencheckbook.maine.gov/transparency,US State,,
Ann Arbor,MI,114925,Government,No,http://www.a2gov.org/data/,US City or County,,
Michigan,MI,9876187,Government,No,http://www.michigan.gov/data/,US State,,
Minnesota,MN,5344861,Government,No,http://mn.gov/portal/,US State,,
Minnesota,MN,5344861,Government,No,http://www.mmb.state.mn.us/tap,US State,,
Mississippi,MS,2978512,Government,No,http://www.transparency.mississippi.gov,US State,,
Missouri [Accountability Portal],MS,6010688,Government,No,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,Other State Related,,
Montana,MT,998199,Government,No,http://transparency.mt.gov,US State,,
Nebraska,NB,1842641,Government,in progress,http://www.nebraska.gov/data/,US State,,
Asheville,NC,84458,Government,No,http://opendatacatalog.ashevillenc.gov/,US City or County,,
North Carolina,NC,9656401,Government,No,http://www.ncopenbook.gov,US State,,
North Carolina [OpenBook],NC,9656401,Government,No,http://www.ncopenbook.gov/NCOpenBook/,US City or County,,
Wake County,NC,929780,Government,No,http://www.wakegov.com/data/Pages/default.aspx,US City or County,,
North Dakota,ND,683932,Government,No,http://data.share.nd.gov/pr,US State,,
North Dakota GIS Hub,ND,683932,Government,No,http://www.nd.gov/gis/,Other State Related,,
Nebraska,NE,1842641,Government,in progress,http://nebraskaspending.gov,US State,,
New Hampshire,NH,1318194,Community,Yes,http://nhopengovt.org/,US State,,
New Hampshire,NH,1318194,Government,Yes,http://www.nh.gov/transparentnh,US State,,
New Jersey [GIS Clearinghouse],NJ,8791909,Government,Yes,http://njgin.state.nj.us/,US State,,
New Jersey [Newspaper Transparency Project],NJ,8791909,Private,Yes,http://datauniverse.com/,US State,,
New Jersey [Transparency Portal],NJ,8821155,Government,in progress,http://yourmoney.nj.gov,US State,,
Albuquerque,NM,539000,Government,No,http://www.cabq.gov/abq-data/,US City or County,,
New Mexico,NM,2082224,Government,No,http://www.sunshineportalnm.com/,US State,,
Nevada,NV,2723322,Government,No,http://open.nv.gov,US State,,
New York,NY,19465197,Government,Yes,http://www.openbooknewyork.com,US State,,
New York [State Data Center],NY,19465197,Government,Yes,http://esd.ny.gov/NYSDataCenter.html,Other State Related,,
New York [State Senate],NY,19465197,Government,Yes,http://www.nysenate.gov/opendata/,Other State Related,,
Cincinnati,OH,296223,Community,No,http://www.opendatacincy.org/,US City or County,,
Ohio,OH,11544951,Government,in progress,http://www.sos.state.oh.us/betterLives.aspx,US State,,
Ohio,OH,11544951,Government,in progress,http://transparency.ohio.gov,US State,,
Oklahoma,OK,3791508,Government,No,http://www.ok.gov/about/data.html,US State,,
Tulsa,OK,14741,Government,Yes,https://www.cityoftulsa.org/our-city/open-tulsa/open-tulsa-dataset-list.aspx,US City or County,,
Oregon,OR,3871859,Government,No,http://www.oregon.gov/transparency,US State,,
Pennsylvania,PA,12742886,Government,No,http://www.pennwatch.pa.gov,US State,,
Pennsylvania [Geodata],PA,12702379,University,No,http://www.pasda.psu.edu/uci/SearchResults.aspx?shortcutKeyword=base&searchType=shortcut&sessionID=50734710420131023181913,US State,,
Rhode Island,RI,1051302,Government,No,http://www.ri.gov/data/,US State,,
Rhode Island,RI,1051302,Government,No,http://www.transparency.ri.gov,US State,,
Charleston,SC,125583,Government,No,http://gis.charleston-sc.gov/dataportal/,US City or County,,
South Carolina,SC,4679230,Government,No,http://www.cg.sc.gov/fiscaltransparency,US State,,
South Carolina [GIS],SC,4679230,Government,No,"http://www.gis.sc.gov/data.html,US State",US State,,
South Dakota,SD,824082,Government,No,http://open.sd.gov/,US State,,
Chattanooga,TN,170136,Government,Yes,http://data.chattlibrary.org,US City or County,,
Tennessee,TN,6403353,Government,No,http://www.tn.gov/opengov/,US State,,
Texas,TX,25674681,Government,No,http://www.texas.gov/en/Connect/Pages/open-data.aspx,US State,,
Texas,TX,25674681,Government,No,http://www.texastransparency.org,US State,,
Texas [Comptroller Transparency],TX,25674681,Government,No,http://www.texastransparency.org/opendata/index.php,Other State Related,,
Utah,UT,2817222,Government,Yes,http://www.utah.gov/transparency,US State,,
Utah,UT,2817222,Government,Yes,http://www.utah.gov/data/,US State,,
Virginia Data Point,VA,8096604,Government,No,http://datapoint.apa.virginia.gov/,US State,,
Williamsburg,VA,15167,Government,Yes,http://www.williamsburgva.gov/Index.aspx?page=793,US City or County,,
Richmond,VA,210309,Government,No,ftp://ftp.ci.richmond.va.us/GIS/Shapefiles/,US City or County,,
Charlottesville,VA,43956,Government,No,http://www.charlottesville.org/Index.aspx?page=1674,US City or County,,
Lynchburg,VA,77113,Government,No,http://mapviewer.lynchburgva.gov/downloads/default.aspx,US City or County,,
Vermont,VT,626431,Government,No,http://spotlight.vermont.gov,US State,,
San Mateo County Open Checkbook,WA,727209,Government,No,https://data.smcgov.org/,US City or County,,
Washington,WA,6830038,Government,in progress,http://fiscal.wa.gov,US State,,
Wisconsin,WI,5711767,Government,No,http://sunshine.wi.gov,US State,,
West Virginia,WV,1855364,Government,No,http://transparencywv.org,US State,,
Wyoming,WY,568158,Government,No,http://www.wyoming.gov/transparency.html,US State,,
